"Environment" "Phenotype" "pine_correlation" "spruce_correlation" "pine_slope_bayenv" "pine_score2_bayenv" "pine_score1_bayenv" "spruce_slope_bayenv" "spruce_score2_bayenv" "spruce_score1_bayenv"
"12" "AHM" "HtFinalS01_mm" 0.22 0.05 0.203155139755134 0.5541 7.868704549807e-05 0.151907886637944 0.5373 6.54648953553216e-05
"327" "PAS" "ColdInjuryMidWinterS02_Mean" 0.21 0.63 0.244048046091856 0.5646 0.000107082102148011 0.302606640265537 0.5962 0.00015875639026733
"295" "MWMT" "FinalRootWeightS02_g" 0.21 0.16 NA NA NA NA NA NA
"240" "Longitude" "BudSet_day" -0.21 -0.02 0.364897357280684 0.5697 0.000156918779065677 0.0215619345807452 0.5064 1.00188240485145e-05
"169" "EXT" "RootShoot_Ratio" 0.21 0.19 0.169552591398887 0.5476 6.5338013609283e-05 0.204806252812654 0.5571 8.96769162337348e-05
"142" "Eref" "FinalRootWeightS02_g" 0.21 0.35 NA NA NA NA NA NA
"87" "eFFP" "BudSet_day" 0.21 0.3 0.157571365085165 0.5431 6.77648164628839e-05 0.304245591185595 0.5881 0.000141381523853305
"66" "DD0" "MaxGthRate_mm_Day" 0.21 -0.1 -0.0433632316489017 0.4843 -1.72281413680788e-05 -0.172563112941337 0.4565 -7.44120603969521e-05
"46" "CMD" "HtFinalS01_mm" 0.21 0.21 0.234886698364794 0.5601 9.09774353444822e-05 0.241115481112353 0.566 0.000103907018622272
"17" "AHM" "TotalWeight" 0.21 -0.04 NA NA NA NA NA NA
"13" "AHM" "HtFinalS02_mm" 0.21 0.13 0.177385817316416 0.5475 7.06649176375862e-05 0.253945616681023 0.5671 0.000118378810044638
"6" "AHM" "FinalRootWeightS02_g" 0.21 0.14 NA NA NA NA NA NA
"287" "MCMT" "MaxGthRate_mm_Day" -0.2 0.19 0.00558399731908391 0.4967 2.21918554535542e-06 -0.177375144781008 0.4562 -7.64869853638936e-05
